ASIN,Reviewer Name,Reviewer Star,Reviewer Date,Year,Reviewer Summary,
B06ZZ8Y89F,Jake,4.0 out of 5 stars,26-Mar,2018,Victagen 18650 Batteries (two) and universal charger -- both 18650 batteries were about 50% charged and approximately one hour to achieve a full charge via USB cable from my laptop.  The universal charger displays easy to read charging status and can adapt to accept double or triple A rechargeable batteries.Seems to be well built and will give it a 5 star after a few more charging cycles.  Thank you!,
B06ZZ8Y89F,Jeff Konkus,5.0 out of 5 stars,2-May,2018,It is a great charger.  Fast and intuitive.  The batteries did not fit my device that came with a 18650 battery.  I returned the product as I could not use the batteries....That was my first post with a 3starAfter further review of the batteries they have been covered with a rather thick shrink wrap for brandingwhen this cover was removed the batteries fit my device they are wicked strong batteries.,
B06ZZ8Y89F,Luis,5.0 out of 5 stars,20-Jun,2018,Best charger ive seen and used. Pop in the batteires and it tells you what percentage it has. Simple to use interface means honestly no screw ups (im looking at you steve). Plug into a cellphone chsrger with micro usb cable amd your set. Put the batteries in wrong and no blinking lights which means wrong direction. Plus for those forgetful nancies it wont overcharge the batteries as well.,
B06ZZ8Y89F,Karthik Padmanabhan,5.0 out of 5 stars,20-Feb,2018,I use this usually to charge the batteries for my Xbox Controller but last weekend I was traveling to Mexico and used this as a phone charger as well! It also avoids over charging and I use it on rotation with a pair of Eneloops I had purchased previously and it works well with that too. highly recommended!,
B06ZZ8Y89F,D. R. Edmonds,5.0 out of 5 stars,27-Mar,2018,Charges fast and it's easy to connect to any USB charger or specialized outlet. Haven't had a chance yet to test the life of the battery in the flashlight it's in but it definitely is brighter with this battery vs. regular ones.,
B06ZZ8Y89F,Marcieanne,4.0 out of 5 stars,12-Sep,2018,It's nice to charge a few batteries at once and have feedback on the progress. Having 4 of the tactical flashlights the 2 batteries were an add plus. You can also put the batteries in the charger and use it as a battery bank to charge a phone etc. My other rechargeable fit too so I'm planning on ordering another one before winter. For the price you can't go wrong.,
B06ZZ8Y89F,fasteddiexx1,5.0 out of 5 stars,9-Aug,2018,,
B06ZZ8Y89F,Steven J.,5.0 out of 5 stars,25-Jul,2018,This is a great little charger. The fact that I got 2 3200mAh batteries with it is an unmatched deal. I was supprised at how fast it charged. It blew my Nitecore D2 away. The batteries fit a little wobbley but have no problems and I have charged up to a 26650 no problems. So far so good and I'm picky.,
B06ZZ8Y89F,Frustrated in Indiana,5.0 out of 5 stars,29-Aug,2018,Though I have not had the chance to wear down one of the batteries I am happy that it not only charges the ones inclueded but will also charge the rechargeable AAAAA batteries that I use on other things and it just hooks up to a charger I already have or my computer.  Nice options!,
B06ZZ8Y89F,Nicholas Cheok,5.0 out of 5 stars,8-Aug,2018,,
B06ZZ8Y89F,C. Chung,5.0 out of 5 stars,5-Jul,2018,Works great.  Having a USB connected charger works well with all of the other charging devices that use USB power adaptors.  I'm using mine with a charging station.  I'm using with this one: https://www.amazon.com/gp/product/B06XQ139DN/ref=oh_aui_search_detailpage?ie=UTF8&psc=1,
B06ZZ8Y89F,balconio,4.0 out of 5 stars,21-Sep,2018,I have cheap 18650 chargers (the kind that come with flashlights) and they don't inspire confidence. I know this charger will shut off when it hits 4.2v and that peace of mind is worth $15. Plus I can see the state of the charge in 25% increments which is neat.,
B06ZZ8Y89F,Kevin Gaston,5.0 out of 5 stars,8-Jul,2018,These batteries and charger are a lifesaver! It keeps batteries charged while being plugged into a laptop! The batteries are also 3200 mah which means they last a good amount of time before needing recharged! The charger automatically switches to the most appropriate charging amperage but can be manually over ridden.,
B06ZZ8Y89F,shrimpy,5.0 out of 5 stars,3-Feb,2018,,
B06ZZ8Y89F,Amazon lover,4.0 out of 5 stars,12-Apr,2018,So far so good. Batteries charged quickly and seem to work fine. I will see how they hold up.,
B06ZZ8Y89F,Will C,5.0 out of 5 stars,20-Oct,2018,I originally bought this for my vape mod. I found out later that I needed flat top batteries to make it easier to remove and reinstall the batteries after charging. But these work perfect for my flashlight and the charger also works great for the lg flattop 18650 batteries I bought.,
B06ZZ8Y89F,Jimmy K,5.0 out of 5 stars,7-Aug,2018,This charger is packed with handy features.  Works well. Good service from  Victagen.  Socket for USB mini worked loose inside charger and stopped working after 2-3 months - they replaced it.,
B06ZZ8Y89F,Jonathan Luna,5.0 out of 5 stars,10-Feb,2018,Very reasonable price for 2 batteries and one charger. The charger can also be used as a power bank when a charged battery in on the left hand side slot. There are two USB sockets on the top of the charger 1 micro USB female for charging the batteries and one USB-A female socket that is for the power bank mode.,
B06ZZ8Y89F,joshldyer,5.0 out of 5 stars,1-Apr,2018,Seems like a quality product is a little weird that the batteries were in the charger when they opened it the batteries are not for Vaping they are the Round Top positive poles not the flat top.,
B06ZZ8Y89F,M. Krueger,5.0 out of 5 stars,17-Jul,2018,Bought these for an LED flashlight whose rechargeable batteries didn't last long. So far so good will update review with prolonged use details.,
B06ZZ8Y89F,Quinn M.,4.0 out of 5 stars,29-Apr,2018,Great charger these batteries didn't fit in my box mod but that's probably me not reading. Batteries do sometimes get launched out of the charger if you bump it.,
B06ZZ8Y89F,Dina Mary Zaky,5.0 out of 5 stars,17-May,2018,,
B06ZZ8Y89F,charlie badger,5.0 out of 5 stars,17-Aug,2018,Liked bot the compactness of charger and ability to charge from computer and environmentally sound reuse of batteries.,
B06ZZ8Y89F,John Walker,5.0 out of 5 stars,19-Jun,2018,I bought this charger not only for the features but because it came with batteries for my new Innokin iTaste SVD.  They fit and work great as does the charger.,
B06ZZ8Y89F,DJ,4.0 out of 5 stars,26-Apr,2018,Charges fast and mostly evenly compared to another charger that only charges 1 battery to full and another to half. I just wish there was an option to get flat top batteries rather than what comes with it. If you are looking for the batteries with that little nipple at the top than this is a 5/5.,
B06ZZ8Y89F,Jared Disler,5.0 out of 5 stars,26-Jul,2018,I needed a charger for the 18 650 battery including two more batteries it's good to have more,
B06ZZ8Y89F,Patrick Casto,5.0 out of 5 stars,8-Jul,2018,Very nice charger. Wish it had discharge and recharge settings. Buy the 5vdc Wall wart.,
B06ZZ8Y89F,Amazon Customer,2.0 out of 5 stars,16-Oct,2018,,
B06ZZ8Y89F,S. MOHADES,5.0 out of 5 stars,19-May,2018,Charged the batteries and they lasted longer than my old batteries that I've been using for about a year an I was pleased (not surprised) . I also like the USB port port on the side that can be used to charge other devices,
B06ZZ8Y89F,Doug P.,5.0 out of 5 stars,23-Apr,2018,It was a total surprise for me to find out that some of the batteries that I thought were bad just needed a charger like this one I have been able to recover 7 batteries(18650)from the trashed bin I had. Great buy,
B06ZZ8Y89F,T. K. Eads,5.0 out of 5 stars,10-Aug,2018,Use in my Atomic Beam Headlight and they work great!  One battery lasts all day at work and recharges in the truck.,
B06ZZ8Y89F,Shangri-La project,5.0 out of 5 stars,9-Jul,2018,Works great and was a fantastic deal with the two batteries that it came with.,
B06ZZ8Y89F,joe self,5.0 out of 5 stars,26-Sep,2018,It a good charger I just wish I know the ETA charger time from dead to full  it other than that I'm able to get my batteries charged,
B06ZZ8Y89F,Marc Myers,5.0 out of 5 stars,7-Jul,2018,This charger is great. Charges fast and works well. No complaints here.,
B06ZZ8Y89F,JC,4.0 out of 5 stars,7-Feb,2018,Charger works great and the batteries last. Only issue I had was they were to fat to fit into my fenix flashlight. It looks like they got generic 18650 batteries and added their own label. After I peaked off the plastic heat shrank label if fit and worked fine.,
B06ZZ8Y89F,AmazonShopper,5.0 out of 5 stars,6-Apr,2018,Excellent charger. I was surprised at first that it charges via USB but that makes for a fast charge. Also terrific to be able to charge many different sizes of batteries with a single charger. Highly recommend.,
B06ZZ8Y89F,Mr Outdoors,5.0 out of 5 stars,21-Jun,2018,Works great. I have it plugged into a laptop and works perfectly,
B06ZZ8Y89F,Jack L.,5.0 out of 5 stars,20-Sep,2018,Batteries and charger both work well so far,
B06ZZ8Y89F,Ginger M Hernandez,4.0 out of 5 stars,26-Apr,2018,Had product in three days. Product was easy to use. Clear indicators let you know when it's charged when it needs to be charged. I am very happy so far withe the product.,
B06ZZ8Y89F,JAY,5.0 out of 5 stars,21-May,2018,Batteries and charger a good buy Charged up well and can use the charger on my other batteries .,
B06ZZ8Y89F,David P. Martin,5.0 out of 5 stars,12-Aug,2018,Liked the charger and the batteries. This is my thirdTry and the charm.,
B06ZZ8Y89F,Glen Sims,5.0 out of 5 stars,19-Aug,2018,charges fairly quickly used for my laser Items that use 16851 batteries,
B06ZZ8Y89F,Jon,5.0 out of 5 stars,18-Aug,2018,Work as expected.,
B06ZZ8Y89F,DHobbit,5.0 out of 5 stars,1-Jul,2018,Everything it claims to be.,
B06ZZ8Y89F,T. Hoffer,5.0 out of 5 stars,11-May,2018,Charges very nicely.,
B06ZZ8Y89F,Mundelein Reviewer,4.0 out of 5 stars,21-Apr,2018,Works pretty good.,
B06ZZ8Y89F,Alan and Anne-Guri,5.0 out of 5 stars,1-Aug,2018,Works nicely good to see battery levels only drwbk is not directly able to be plugged into outlet. If to be used as portable power needs a cover to keep batteries in charger,
B06ZZ8Y89F,Robert,5.0 out of 5 stars,15-Mar,2018,The batteries last a long time in my Atomic Beam flashlight and the charger charges all my AA  AAA and 18650 rechargeable batteries. I was going to order another set but Amazon is out of stock.,
B06ZZ8Y89F,Michael H,5.0 out of 5 stars,24-Jun,2018,Fast shipping no problems!!,
B06ZZ8Y89F,cheetah-star,5.0 out of 5 stars,12-Feb,2018,Easy to use and the indicator LEDs give a good indication of status.,
B06ZZ8Y89F,Dan Smithyman,5.0 out of 5 stars,31-May,2018,Appears to be good quality first few charges pretty fast. Haven't used it as a power pack but I really like the idea!,
B06ZZ8Y89F,Ben,5.0 out of 5 stars,3-May,2018,Works as advertised.I am happy with product. Will do what I bought it for charging batteries and iPhone,
B06ZZ8Y89F,Dana Zircher,5.0 out of 5 stars,30-May,2018,Just as described thanks.,
B06ZZ8Y89F,brian,5.0 out of 5 stars,6-Jun,2018,This is the best charger I've ever used.,
B06ZZ8Y89F,Roy A Garcia,5.0 out of 5 stars,12-Mar,2018,Excellent product very pleased. Able to charge other type batteries as well thanks again,
B06ZZ8Y89F,James W. Sarvis,5.0 out of 5 stars,15-Aug,2018,Good price and quality,
B06ZZ8Y89F,Amazon Customer,5.0 out of 5 stars,9-Sep,2018,Ease of use and fast charging,
B06ZZ8Y89F,Kristen Booty,5.0 out of 5 stars,27-May,2018,Fast shipping great price product as described thank you!!,
B06ZZ8Y89F,Donald Wisowaty,4.0 out of 5 stars,16-Feb,2018,Seems to work just fine so far. My only dislike is that the batteries can be ejected from the unit if not careful when taking them out.,
B06ZZ8Y89F,Neptune10,5.0 out of 5 stars,29-Jul,2018,I like that they came in their own boxnice.,
B06ZZ8Y89F,Rockhead,5.0 out of 5 stars,29-May,2018,Charger works well. Would be better if the wall charger was included. Just started using batteries so no comments as of this date.,
B06ZZ8Y89F,Hal. Gindele Jr.,5.0 out of 5 stars,14-May,2018,Love the charger. Thanks.,
B06ZZ8Y89F,Abby,5.0 out of 5 stars,12-Aug,2018,Great versatility love being able to charge iPhone with it.,
B06ZZ8Y89F,Christopher Iverson,5.0 out of 5 stars,14-Jun,2018,Battery level indicator is helpful and is a very nice charger for the deal I received. Very satisfied customer.,
B06ZZ8Y89F,Russell B. Grimes,5.0 out of 5 stars,18-Mar,2018,The instructions were quite vague but once I figured it out it worked great,
B06ZZ8Y89F,KG4ZTS,5.0 out of 5 stars,19-Sep,2018,Quick charge,
B06ZZ8Y89F,Jace Alan Robbins,5.0 out of 5 stars,14-May,2018,Would buy again,
B06ZZ8Y89F,May Langthang,5.0 out of 5 stars,23-Apr,2018,Good!,
B06ZZ8Y89F,A m,5.0 out of 5 stars,21-Jul,2018,Awesome charger great price!,
B06ZZ8Y89F,Kindle Customer,5.0 out of 5 stars,11-Apr,2018,Simple and effective,
B06ZZ8Y89F,Carly Cain,5.0 out of 5 stars,22-Jul,2018,Great product highly recommended,
B06ZZ8Y89F,Amazon Customer,5.0 out of 5 stars,30-Mar,2018,Everything I was expecting great product.,
B06ZZ8Y89F,Pijuangil ,5.0 out of 5 stars,20-Jul,2018,Excelente producto,
B06ZZ8Y89F,STEPHEN BROWN,5.0 out of 5 stars,24-Aug,2018,Work's great,
B06ZZ8Y89F,Bob N.,5.0 out of 5 stars,1-Feb,2018,The charger works as designed. I used a standard USB to charge the batteries and subsequently charged my Samsung with the batteries without issue. the led indicators showed the charge level etc.,
B06ZZ8Y89F,Krista Nicole,1.0 out of 5 stars,7-Aug,2018,,
B06ZZ8Y89F,Rick,1.0 out of 5 stars,6-May,2018,Terrible quality. Gets extremely hot to the point where I don't feel comfortable leaving it unattended.,
B06ZZ8Y89F,Lucas Greenwood,3.0 out of 5 stars,16-Apr,2018,Does not fit in a SMOK Alien ProColor the Positive end nipple is to long and you can't close the door. Its charges fine,
B06ZZ8Y89F,caleb jimerson,3.0 out of 5 stars,8-Apr,2018,this item was great its just one battery would not even charge or work thats the only problem that i had about it great product but i only got one battery that worked,
B06ZZ8Y89F,JP in Vancouver,1.0 out of 5 stars,21-Jul,2018,,
B06ZZ8Y89F,Amazon Customer,1.0 out of 5 stars,30-Apr,2018,,
B06ZZ8Y89F,Jordy,1.0 out of 5 stars,4-Apr,2018,Did not fit. Also the leads on the positive side of both batteries move to the edges where the terminals meet on the battery risking fire or explosion. These ARE NOT SAFE. DO NOT BUY.,
B06ZZ8Y89F,monique h.,1.0 out of 5 stars,31-Mar,2018,,
B06ZZ8Y89F,WRO,3.0 out of 5 stars,24-Apr,2018,Charger works well and charges fast. Gave 3 stars because I thought the 18650 batteries included were flat topped they are not so I cannot use them in my mod.,
B06ZZ8Y89F,bananachunks,3.0 out of 5 stars,9-Aug,2018,"I needed new batteries for my vape mod.  For this price why not replace my 2+ year old charger as well?  Love the charger - I like seeing what level charge each battery has instead of just red for charging and green for done like with my old charger.  The batteries on the other hand - I'm not impressed.  First these batteries are slightly bigger than a normal 18650.  That said they did fit my vape mod.  And they were great for the first two weeks.  Now ending my third week both batteries are showing ""low battery"" when they get down to about 50% in my vape mod.  Charge it back up to 100% in either the vape mod itself or in the included charger then they die once they get back down to 50% or maybe a little more.  So less than a month and I have to replace my batteries.  The three stars are for the charger (if the product listing was for the charger alone it would get five stars).  I will be steering clear of Victagen 18650 Lithium Batteries from here out.",
B06ZZ8Y89F,CORN,2.0 out of 5 stars,24-Aug,2018,The charger is not working,
B06ZZ8Y89F,Amazon Customer,1.0 out of 5 stars,10-Aug,2018,Both batteries had damage to the protective layer causing the batteries to be unsafe. Will be returning.,
B06ZZ8Y89F,The Haggerty Family,3.0 out of 5 stars,28-Mar,2018,We just received the charger it came with two 18650 batteries 3200mAh that are labeled Victagen as is the charger itself. Also included in the package was a short (few inches at best) usb to usb micro cable. No A/C adapter but I believe the listing stated this. The information printed on the box and in the included directions was clearly written by someone who is less than proficient in the English language. Many grammatical errors and poorly worded/strange statements. I plugged it into the wall using my Samsung phone charger as suggested by the goofy directions. I inserted the batteries and was greeted by flashing blue lights above both ports indicating the batteries already had a half charge. The batteries don't seat very securely so care has to be taken not to bump or shift the charger. I had one battery flip out and sail about 10 inches from the charger when I accidentally bumped it with my foot. I have my doubts as to the validity of the claimed 3200 mAh rating on the batteries. The charger has two modes 1a charging and 0.5a charging which can be switched by pressing a mode button on the front face of the charger. It seems to be working as advertised so far but I've only had it for about an hour so far. I have the combo a 3 star ratings based on the wonky directions and unstable seating of the batteries in the charging ports. The box and directions state that the charger can be used as a battery bank (to charge cell phones or similar devices) by placing a charged battery in the left charging slot and using supplied usb cable (There is a regular USB port on charger for battery bank use and a USB micro port for charging purposes). However based on how unstable the battery seating is in the charger I don't think this is a practical use as you would be constantly re-inserting the batteries when they pop out. Maybe it would be feasible if you left it in a stationary location and didn't use the device you were charging. Regardless you get what you pay for and for 20 or 30 bucks as long as it keeps working I feel it was worth the purchase.,
B06ZZ8Y89F,chris iuliano,4.0 out of 5 stars,15-Feb,2018,Charger works well. But the batteries do not fit in an ecig. So if you're a vaper looking for batteries they wont work.UPDATE 2: I was quickly offered an apology and replacement. So far the replacement is working well. Its been a few months now and it still works correctly. So I'm thinking the last one was just an anomaly. Its working now no complaints. Good customer service. So if you do have a problem they will replace the unit.UPDATE 1: I bought this in mid february. by the end of march the charger stopped working properly. I believe the usb connection on the charger is faulty as I have to move the cable into different positions til i find a position that makes it work. Then even when there is a connection the batteries do not charge properly. sometimes when I only have 1 battery charging the other side is going as well (with no battery). The charger lights will look like its charging but the battery never charges.Seems to me like I got a faulty charger.,
B06ZZ8Y89F,M,1.0 out of 5 stars,12-Aug,2018,The two battery slots adjust via tension springs to accommodate varying battery sizes.  The first slot's spring broke off it's coupling when I tried to put the battery in less than 30 seconds out of the box.  Why? Why bother making something this cheaply?  If it costs more to make something that works then spend more to make it work and then pass it on to me.  This is the second charger I've bought off Amazon this past week and I'm 0/2 on functional chargers so far.,
B06ZZ8Y89F,Shaylee Polk,2.0 out of 5 stars,25-Mar,2018,Bought these to replace my old 18650 batteries but they don't fit. Also the batteries wiggle around a lot inside the charger and it's hard to line them up right. The upside is it does work as a power bank.,
B06ZZ8Y89F,Mr Mitch,4.0 out of 5 stars,11-Apr,2018,Works as described. Better than my old Radio Shack one.,
B06ZZ8Y89F,Andrew Baker,3.0 out of 5 stars,12-Sep,2018,,
B06ZZ8Y89F,William F.,3.0 out of 5 stars,13-Sep,2018,It works(ish) I searched vape batteries and I found these they work if you have another type or battery with it because at least with my vape it sits too high because of the cathode,
B06ZZ8Y89F,A.T.,5.0 out of 5 stars,1-Mar,2018,Great deal. Works good so far.,
B06ZZ8Y89F,Cspotts,2.0 out of 5 stars,24-Jul,2018,This charger is listed as being for 18650Li batteries but also fits many other sizes by using a spring assisted sliding contact on the (-) end.That's very cool in principle but in practice it acts less like a useful contact and more like a battery launcher since there's nothing to hold the batteries in place besides the pressure exerted by that spring. At the slightest provocation (a door slamming on the other side of the house for instance) the battery will slip loose and launch about 3 feet in whichever direction it happens to be facing.Needless to say that's very frustrating since I intended to use this product in my work vehicle to charge my headlamp batteries.This product earns two stars because it does seem to charge the batteries quickly and they worked quite well in my headlamp. That said the frustration of constantly retrieving batteries as they fly across the room has led me to request a return on day one of ownership.,
B06ZZ8Y89F,Louis,1.0 out of 5 stars,4-Mar,2018,Terrible product not even a couple weeks charging piece broke,
B06ZZ8Y89F,Rose Lamb,2.0 out of 5 stars,22-Jun,2018,Since they don't fit in the vape even though they are the 18650 I can't say whether they are a good battery or not. If you're looking to buy a battery for your vape this might not fit.,
B06ZZ8Y89F,Ashley,1.0 out of 5 stars,6-Jun,2018,Had to return batteries wouldn't stay in to charge,
B06ZZ8Y89F,Ashley,2.0 out of 5 stars,26-Feb,2018,This works as advertised but the batteries do not fit securely. There is a lot of play and they can easily slide off the prong. I bought this for a solar charger to wear on my pack and charge while hiking. The batteries will not stay in place if moving.,
B06ZZ8Y89F,DaveF,3.0 out of 5 stars,23-Feb,2018,I did receive this at a discount but as you can see I can only provide a candid review. The one thing that drew me to this set was that you could use the charger as a battery bank. The other was that they were rated at 3200mAh. Now the real question is how reliable is that rating? Turns out it is a bit optimistic. I bought a battery charger/tester to see how good or bad they really are. From left to right: The two Victagen batteries then the Moobibear (came with a flashlight) and finally a Harbor Freight battery that came with a light. The Harbor Freight battery surprised me the most. I will admit this charger doesn't test discharge rates and loads but at least for the capacity it should be pretty close. So the short answer is the Victagen came up short of the 3200 mHa rating at approx. 83% and 87%. Could I have received two questionable batteries? You can decide.,
B06ZZ8Y89F,SomeareainMichigan,4.0 out of 5 stars,12-Apr,2018,The original unit developed an issue with the units power cutting in/out where the micro USB input went into the charger.  I contacted the seller they asked for a video and I received a replacement very quickly.  Over all I like the features of this charger :  It charges multiple battery types and it comes with two very nice 18650 batteries for the price.  A great feature of the unit is that it will charge your phone by reversing the USB part of the cord from the charger and the micro USB into your phone or device needing charged  Not a deal breaker  but the 18650 batteries do not stay securely in the charger if you are moving or carrying the charger..  The  replacement charger is working flawlessly and I am pleases with the service and product I received.,
B06ZZ8Y89F,caleb J. Skeen,5.0 out of 5 stars,9-Aug,2018,For a odd size battery it works well,
B06ZZ8Y89F,Abhi Bhatt,5.0 out of 5 stars,7-Feb,2018,This is a great product for charing my lithium ion batteries! It charges my AA and AAA batteries excellently. The display showing the battery % charged is also very nice. I also really like that I can use this as a power bank! It charges with a micro USB which is universal.,
B06ZZ8Y89F,luke,5.0 out of 5 stars,13-Jun,2018,it's a nice battery easy to charge. Also we can clearly check the battery's remaining charge on the charger. The quality of the battery looks good. Charging interface can be used on all usb interfaces.,
B06ZZ8Y89F,Big Steve from Seymour (by Gawd) Texas,2.0 out of 5 stars,23-Apr,2018,Power connection broke loose inside charger after two months.  Didn't move it much in the two months that I've had it; so I didn't really connect/disconnect the charger very much.  It just sits on a table plugged in.  When it worked it was fine.  It just didn't last long.,
B06ZZ8Y89F,Bast,1.0 out of 5 stars,2-Oct,2018,1 battery was dud out of the box the other one started playing after a few days of use. going to try another brand.,
B06ZZ8Y89F,Navy Chuck,4.0 out of 5 stars,22-Oct,2018,Arrived with half charged batteries.  The charger brought them to 100% in about an hour. You will need you own adapter from USB to AC source.  Checked the batteries a couple of days later and they are holding their charge.  I will update if any problems are encountered.U[date - had the items for a couple of weeks now.  Batteries hold charge fine.,
B06ZZ8Y89F,Chris,5.0 out of 5 stars,1-Oct,2018,Works great and i can even use to charge my phone so awesome,
B06ZZ8Y89F,BKAZ,1.0 out of 5 stars,31-Oct,2018,Returned. Did not work correctly out of box. Did not try batteries.,
B06ZZ8Y89F, Chronologically gifted,5.0 out of 5 stars,31-Oct,2018,,
B06ZZ8Y89F,Craig Rooke,5.0 out of 5 stars,31-Oct,2018,Fits perfectly in the hand and casts a long powerful beam. The adjust function helps to focus in on far-off subjects. Feels very well made. Great value.,
B06ZZ8Y89F,Amazon Customer,1.0 out of 5 stars,2-Oct,2018,Dont waste your time or money. Charger worked but the batteries were terrible.,
B06ZZ8Y89F,Frankenstein,4.0 out of 5 stars,6-Oct,2018,just ok,
B06ZZ8Y89F,Ahmad,5.0 out of 5 stars,4-Sep,2018,Great product very cool that it allows for charging different types of batteries at the same time. This charger also has an unexpected capability built in. It can function as a battery pack to recharge your USB devices.,
B06ZZ8Y89F,Bigbird1951,5.0 out of 5 stars,3-Jul,2018,Real easy to charge and like ability to use to power or charge mobile devices too.,
B06ZZ8Y89F,Tadeh D.,5.0 out of 5 stars,2-Nov,2018,Nice quality,
